time,a0_wall_time,a1_dt,a2_id,k_inj,mass_flux_src_zn2,output_mass_zn2,p1_in,p1_lagged_perm,p1_lagged_poro,p1_out,p1_vol_strain,phi_frac,three_s_over_a0
0,0,0,0,1e-13,1.65625,0,0,0,0,0,0,0.0033,250
1,231.729401333,1,0,1e-13,1.65625,0,4144621.0479684,1.0035743584428e-13,0.0033,1372.9594551597,2.5402134126606e-05,0.0033,250
2.2,461.875777208,1.2,0,1e-13,1.65625,0,6288415.5859207,1.0058347936035e-13,0.0033000838270426,1380.5051107723,3.9729900091379e-05,0.0033,250
