id,x,y,z
1,3.879982e+02,2.567783e+02,3.034653e+02
2,3.775368e+02,2.558945e+02,3.079509e+02
3,3.250460e+02,2.514597e+02,3.304578e+02
4,2.023419e+02,2.410930e+02,3.830706e+02
